Designator,Mid X,Mid Y,Layer,Rotation
C1,34.55,28.50,Top,90.0
C2,13.63,28.50,Top,270.0
C3,15.64,28.50,Top,90.0
C4,19.64,28.50,Top,270.0
C5,21.64,28.50,Top,90.0
C6,36.55,28.50,Top,270.0
R1,22.19,32.50,Top,0.0
R2,26.18,32.50,Top,0.0
R3,30.16,32.50,Top,0.0
R4,24.75,18.50,Top,270.0
R5,27.03,18.50,Top,270.0
R6,29.30,18.50,Top,270.0
R7,17.64,28.50,Top,90.0
R8,32.55,28.50,Top,90.0
LED1,34.30,32.30,Top,180.0
CON1,32.52,36.50,Top,90.0
CON2,27.03,39.50,Top,180.0
CON3,21.53,36.50,Top,270.0
CON4,38.02,39.50,Top,180.0
U1,17.00,21.00,Top,0.0
U2,26.39,25.50,Top,180.0